0.005538	-0.000002
0.029750	-0.000002
0.054038	-0.000002
0.078400	-0.000002
0.102763	-0.000002
0.126088	-0.000002
0.149438	-0.000002
0.173475	-0.000002
0.197538	-0.000002
0.221038	-0.000002
0.244238	-0.000001
0.268400	-0.000002
0.292975	-0.000002
0.317038	-0.000002
0.340225	-0.000002
0.364063	-0.000001
0.388688	-0.000002
0.412988	-0.000002
0.435813	-0.000001
0.458887	-0.000002
0.483388	-0.000002
0.507925	-0.000002
0.530650	-0.000002
0.553337	-0.000002
0.577613	-0.000002
0.602150	-0.000002
0.625962	-0.000002
0.649400	-0.000002
0.673325	-0.000002
0.697500	-0.000002
0.721450	-0.000001
0.744625	-0.000002
0.768350	-0.000002
0.793050	-0.000001
0.817450	-0.000002
0.840750	-0.000002
0.864100	-0.000002
0.888700	-0.000002
0.913338	-0.000002
0.936825	-0.000002
0.960100	-0.000002
0.984750	-0.000002
1.009600	-0.000002
1.033663	-0.000002
1.057038	-0.000002
1.081038	-0.000002
1.105375	-0.000002
1.129387	-0.000002
1.152263	-0.000002
1.175850	-0.000002
1.201038	-0.000002
1.226100	-0.000001
1.248863	-0.000002
1.271588	-0.000002
1.296350	-0.000002
1.321063	-0.000002
1.344688	-0.000002
1.367988	-0.000001
1.392138	-0.000002
1.416438	-0.000002
1.440150	-0.000002
1.463100	-0.000002
1.486838	-0.000001
1.511300	-0.000002
1.535413	-0.000001
1.558138	-0.000001
1.581488	-0.000000
1.606300	0.000001
1.631025	0.000003
1.653700	0.000006
1.676338	0.000010
1.700363	0.000018
1.723862	0.000031
1.744900	0.000051
1.764212	0.000081
1.782925	0.000128
1.800025	0.000195
1.814500	0.000279
1.826375	0.000376
1.837050	0.000491
1.846650	0.000625
1.855000	0.000767
1.861863	0.000906
1.868212	0.001054
1.874250	0.001217
1.879913	0.001386
1.884613	0.001544
1.888963	0.001704
1.893300	0.001874
1.897438	0.002049
1.901113	0.002220
1.904563	0.002388
1.907963	0.002563
1.911275	0.002744
1.914438	0.002923
1.917325	0.003097
1.920188	0.003276
1.923050	0.003461
1.925700	0.003644
1.928175	0.003819
1.930588	0.003995
1.933188	0.004188
1.935625	0.004382
1.937838	0.004558
1.939950	0.004734
1.942113	0.004919
1.944288	0.005106
1.946350	0.005288
1.948225	0.005463
1.950225	0.005647
1.952188	0.005837
1.954113	0.006024
1.955875	0.006200
1.957663	0.006381
1.959475	0.006571
1.961325	0.006761
1.962938	0.006935
1.964500	0.007110
1.966213	0.007305
1.967963	0.007499
1.969537	0.007678
1.971025	0.007854
1.972625	0.008040
1.974100	0.008230
1.975562	0.008413
1.977000	0.008591
1.978450	0.008773
1.979900	0.008959
1.981275	0.009143
1.981675	0.009197
1.981700	0.009216
1.981750	0.009231
1.981775	0.009245
1.981738	0.009245
1.981663	0.009246
1.981550	0.009246
1.981538	0.009246
