0.005563	-0.000002
0.029787	-0.000002
0.054088	-0.000001
0.078450	-0.000001
0.102750	-0.000002
0.126088	-0.000002
0.149500	-0.000002
0.173513	-0.000001
0.197600	-0.000001
0.221100	-0.000001
0.244275	-0.000002
0.268363	-0.000001
0.292888	-0.000000
0.316863	0.000000
0.339875	0.000002
0.363538	0.000004
0.387725	0.000008
0.411275	0.000014
0.433100	0.000023
0.454575	0.000038
0.476562	0.000060
0.497350	0.000095
0.515100	0.000139
0.531375	0.000197
0.547125	0.000275
0.561213	0.000368
0.573413	0.000473
0.584038	0.000588
0.593638	0.000715
0.602500	0.000853
0.610325	0.000996
0.617238	0.001141
0.623738	0.001294
0.629975	0.001458
0.635625	0.001625
0.640675	0.001786
0.645450	0.001952
0.650150	0.002127
0.654537	0.002305
0.658538	0.002478
0.662325	0.002650
0.666075	0.002833
0.669775	0.003020
0.673138	0.003202
0.676300	0.003379
0.679413	0.003562
0.682450	0.003749
0.685350	0.003934
0.688013	0.004111
0.690688	0.004294
0.693425	0.004489
0.696088	0.004683
0.698388	0.004861
0.700725	0.005039
0.703138	0.005233
0.705513	0.005427
0.707700	0.005613
0.709800	0.005796
0.711975	0.005985
0.714075	0.006178
0.716075	0.006365
0.717963	0.006545
0.719913	0.006733
0.721863	0.006927
0.723788	0.007118
0.725488	0.007298
0.727275	0.007482
0.729100	0.007679
0.730937	0.007876
0.732575	0.008059
0.734213	0.008241
0.735963	0.008438
0.737650	0.008636
0.739163	0.008820
0.740675	0.008999
0.742238	0.009189
0.743825	0.009384
0.745375	0.009574
0.746788	0.009755
0.748263	0.009944
0.749763	0.010141
0.751263	0.010335
0.752600	0.010516
0.753825	0.010675
0.755250	0.010872
0.756700	0.011070
0.757937	0.011251
0.759238	0.011430
0.760563	0.011621
0.761913	0.011812
0.763188	0.011998
0.764413	0.012178
0.765650	0.012366
0.766925	0.012558
0.768188	0.012746
0.769375	0.012929
0.770588	0.013116
0.771812	0.013307
0.773025	0.013496
0.774138	0.013675
0.775312	0.013856
0.776500	0.014053
0.777713	0.014251
0.778813	0.014431
0.779887	0.014609
0.781050	0.014797
0.782138	0.014987
0.783275	0.015169
0.784275	0.015345
0.785375	0.015530
0.786500	0.015722
0.787575	0.015908
0.788562	0.016084
0.789538	0.016265
0.790688	0.016456
0.791737	0.016645
0.792713	0.016821
0.793650	0.016993
0.794700	0.017189
0.795788	0.017384
0.796088	0.017450
0.796275	0.017478
0.796312	0.017500
0.796438	0.017519
0.796400	0.017524
0.796400	0.017526
0.796388	0.017529
0.796337	0.017529
0.796287	0.017530
0.796325	0.017530
0.796275	0.017531
0.796225	0.017531
0.796162	0.017531
0.796125	0.017532
0.796137	0.017533
0.796100	0.017533
0.796063	0.017532
